team,priority,rider_no,rider_name,assignment,credit,ace_aptitude,support_aptitude,primary_archetype,secondary_archetype,roles
Team 01,平坦,45,Mads Pedersen,エース候補,10800,93,81,スプリンター,パンチャー,スプリントエース / 丘陵エース / ステージハンター
Team 01,平坦,100,Ilan Van Wilder,エース候補,5900,75,75,総合型,クライマー,山岳賞ハンター / 山岳アシスト / 山岳ペースメーカー
Team 01,平坦,273,Taco van der Hoorn,支援,3000,63,78,クラシック型,パンチャー,ロードキャプテン / 平坦アシスト / 石畳護衛
Team 01,平坦,260,Alessandro Borgo,支援,3100,66,73,TT・ルーラー型,クラシック型,TT牽引 / 集団コントローラー / TTスペシャリスト
Team 01,平坦,234,Arjen Livyns,支援,3550,69,69,パンチャー,クラシック型,ステージハンター / 逃げ屋 / ポジションキーパー
Team 01,平坦,279,Pavel Sivakov,支援,3100,62,75,クライマー,総合型,山岳賞ハンター / 山岳アシスト / 集団コントローラー
Team 01,平坦,183,Johan Price-Pejtersen,支援,6050,71,81,TT・ルーラー型,総合型,TTスペシャリスト / 平坦アシスト / 集団コントローラー
Team 01,平坦,157,Jonas Rickaert,支援,4350,73,69,スプリンター,クライマー,ロードキャプテン / 山岳賞ハンター / リードアウト
Team 02,丘陵,1,Tadej Pogacar,エース候補,20000,100,83,総合型,パンチャー,総合エース / 山岳賞ハンター / 丘陵エース
Team 02,丘陵,274,Jordan Labrosse,支援,2800,63,71,TT・ルーラー型,クラシック型,集団コントローラー / TTスペシャリスト / TT牽引
Team 02,丘陵,296,Jasper De Buyst,支援,2800,60,72,スプリンター,TT・ルーラー型,リードアウト / 最終発射台 / スプリントトレイン
Team 02,丘陵,249,Floris Van Tricht,エース候補,2850,68,63,スプリンター,クライマー,山岳賞ハンター / リードアウト / 下り牽引
Team 02,丘陵,283,Florian Vermeersch,支援,2850,62,78,クラシック型,パンチャー,ロードキャプテン / 平坦アシスト / 石畳護衛
Team 02,丘陵,292,Nikias Arndt,支援,2850,61,73,スプリンター,TT・ルーラー型,リードアウト / 最終発射台 / スプリントトレイン
Team 02,丘陵,297,Mikkel Bjerg,支援,2850,59,77,TT・ルーラー型,クラシック型,平坦アシスト / TT牽引 / 集団コントローラー
Team 02,丘陵,299,Vegard Stake Laengen,支援,2850,58,78,TT・ルーラー型,クラシック型,平坦アシスト / TT牽引 / 集団コントローラー
Team 03,山岳,8,Primoz Roglic,エース候補,10550,92,74,総合型,パンチャー,総合エース / 逃げ屋 / 山岳番手
Team 03,山岳,164,Gleb Syritsa,エース候補,5650,72,77,クラシック型,クライマー,山岳賞ハンター / 平坦アシスト / 石畳護衛
Team 03,山岳,276,Remi Cavagna,支援,3150,62,78,TT・ルーラー型,総合型,ロードキャプテン / 平坦アシスト / TT牽引
Team 03,山岳,178,Brady Gilmore,支援,3950,72,68,パンチャー,総合型,ステージハンター / 山岳賞ハンター / 集団コントローラー
Team 03,山岳,256,Laurens De Plus,支援,3750,66,76,クライマー,総合型,山岳賞ハンター / 山岳アシスト / 集団コントローラー
Team 03,山岳,280,Danny van Poppel,支援,3050,62,74,スプリンター,TT・ルーラー型,リードアウト / 最終発射台 / スプリントトレイン
Team 03,山岳,186,Edoardo Zambanini,支援,5250,71,76,クライマー,TT・ルーラー型,山岳アシスト / 山岳ペースメーカー / 山岳賞ハンター
Team 03,山岳,213,Davide Formolo,支援,4650,70,73,クライマー,クラシック型,山岳賞ハンター / 山岳アシスト / 下り牽引
Team 04,TT,6,Wout van Aert,エース候補,12500,92,90,クラシック型,パンチャー,丘陵エース / TTスペシャリスト / 石畳護衛
Team 04,TT,151,Ben O'Connor,エース候補,5000,73,74,総合型,スプリンター,スプリントトレイン / 山岳アシスト / 山岳番手
Team 04,TT,298,Luke Durbridge,支援,2900,58,79,TT・ルーラー型,クラシック型,平坦アシスト / 平坦ペースメーカー / TT牽引
Team 04,TT,278,Luka Mezgec,支援,3100,62,76,スプリンター,TT・ルーラー型,リードアウト / 最終発射台 / スプリントトレイン
Team 04,TT,270,Santiago Buitrago,支援,3450,63,77,クライマー,総合型,山岳賞ハンター / 山岳アシスト / 山岳ペースメーカー
Team 04,TT,244,Jenno Berckmoes,支援,3900,68,73,クラシック型,スプリンター,スプリントトレイン / 石畳護衛 / 横風要員
Team 04,TT,158,Carlos Canal,支援,4300,73,68,パンチャー,スプリンター,ステージハンター / 山岳賞ハンター / スプリントトレイン
Team 04,TT,194,Frank van den Broek,支援,4600,71,73,クラシック型,クライマー,山岳賞ハンター / 石畳護衛 / 横風要員
Team 05,石畳,2,Mathieu van der Poel,エース候補,13000,97,76,クラシック型,パンチャー,丘陵エース / リードアウト / 最終発射台
Team 05,石畳,167,Markus Hoelgaard,支援,5050,72,75,クラシック型,総合型,石畳護衛 / 集団コントローラー / 横風要員
Team 05,石畳,300,Kasper Asgreen,支援,2850,57,79,TT・ルーラー型,クラシック型,平坦アシスト / TT牽引 / ブレイクアウェイキラー
Team 05,石畳,294,Jan Tratnik,支援,3050,60,79,TT・ルーラー型,総合型,ロードキャプテン / 平坦アシスト / 平坦ペースメーカー
Team 05,石畳,248,Josh Kench,支援,3350,68,72,クラシック型,TT・ルーラー型,石畳護衛 / 横風要員 / ステージハンター
Team 05,石畳,232,Brieuc Rolland,支援,3750,69,73,クライマー,パンチャー,山岳賞ハンター / 山岳アシスト / 山岳ペースメーカー
Team 05,石畳,281,Simone Consonni,支援,2950,62,74,スプリンター,TT・ルーラー型,リードアウト / 最終発射台 / スプリントトレイン
Team 05,石畳,138,Joshua Giddings,エース候補,5850,73,77,クラシック型,TT・ルーラー型,平坦アシスト / TT牽引 / 石畳護衛
Team 06,平坦,10,Jasper Philipsen,エース候補,9150,90,69,スプリンター,クラシック型,スプリントエース / ステージハンター / リードアウト
Team 06,平坦,92,Clément Russo,エース候補,6650,75,79,クラシック型,TT・ルーラー型,平坦アシスト / 平坦ペースメーカー / TT牽引
Team 06,平坦,288,Christophe Laporte,支援,3150,61,74,スプリンター,TT・ルーラー型,リードアウト / 最終発射台 / スプリントトレイン
Team 06,平坦,261,Luke Plapp,支援,3650,65,79,TT・ルーラー型,総合型,ロードキャプテン / 平坦アシスト / TT牽引
Team 06,平坦,177,Arne Marit,支援,4100,72,68,スプリンター,総合型,リードアウト / 最終発射台 / スプリントトレイン
Team 06,平坦,271,Wilco Kelderman,支援,3400,63,77,クライマー,総合型,山岳賞ハンター / 山岳アシスト / 集団コントローラー
Team 06,平坦,143,Magnus Cort,支援,5400,73,72,パンチャー,スプリンター,ステージハンター / スプリントトレイン / 逃げ屋
Team 06,平坦,226,Kamil Gradek,支援,4500,69,78,TT・ルーラー型,総合型,平坦アシスト / TT牽引 / 集団コントローラー
Team 07,丘陵,7,Remco Evenepoel,エース候補,12500,92,76,総合型,TT・ルーラー型,総合エース / TTスペシャリスト / 山岳番手
Team 07,丘陵,121,Filippo Fiorelli,エース候補,5250,74,75,クラシック型,スプリンター,スプリントトレイン / 石畳護衛 / 横風要員
Team 07,丘陵,291,Bert Van Lerberghe,支援,2950,61,75,スプリンター,TT・ルーラー型,リードアウト / 最終発射台 / スプリントトレイン
Team 07,丘陵,277,Brandon McNulty,支援,3100,62,76,クライマー,総合型,山岳賞ハンター / 山岳アシスト / 集団コントローラー
Team 07,丘陵,263,Anders Halland Johannessen,支援,2950,65,72,TT・ルーラー型,クラシック型,平坦ペースメーカー / 集団コントローラー / TTスペシャリスト
Team 07,丘陵,230,Aurélien Paret-Peintre,支援,3950,69,73,クライマー,スプリンター,山岳賞ハンター / スプリントトレイン / 山岳アシスト
Team 07,丘陵,130,Iván Romeo,支援,4650,74,70,パンチャー,総合型,ステージハンター / 山岳賞ハンター / 下り牽引
Team 07,丘陵,191,Gal Glivar,支援,4650,71,73,クラシック型,スプリンター,スプリントトレイン / 石畳護衛 / 横風要員
Team 08,山岳,5,Jonas Vingegaard,エース候補,13000,92,74,総合型,クライマー,総合エース / 山岳賞ハンター / 山岳番手
Team 08,山岳,107,Lorenzo Rota,エース候補,5150,75,71,パンチャー,クライマー,ステージハンター / 山岳賞ハンター / 逃げ屋
Team 08,山岳,295,Mikel Landa,支援,2950,60,75,クライマー,総合型,山岳賞ハンター / 山岳アシスト / 山岳ペースメーカー
Team 08,山岳,293,Yves Lampaert,支援,3050,60,78,TT・ルーラー型,クラシック型,平坦アシスト / TT牽引 / 石畳護衛
Team 08,山岳,267,Mike Teunissen,支援,3300,64,75,スプリンター,TT・ルーラー型,リードアウト / 最終発射台 / スプリントトレイン
Team 08,山岳,245,Jakob Söderqvist,支援,3750,68,75,TT・ルーラー型,クライマー,山岳賞ハンター / TT牽引 / 集団コントローラー
Team 08,山岳,200,Diego Pescador,支援,4150,71,72,クライマー,総合型,山岳賞ハンター / 山岳アシスト / 山岳ペースメーカー
Team 08,山岳,192,Jonas Rutsch,支援,4650,71,74,クラシック型,総合型,石畳護衛 / 集団コントローラー / 横風要員
Team 09,TT,11,Filippo Ganna,エース候補,10650,88,78,TT・ルーラー型,クラシック型,丘陵エース / TTスペシャリスト / ブレイクアウェイキラー
Team 09,TT,139,Edward Planckaert,エース候補,5800,73,76,クラシック型,TT・ルーラー型,TT牽引 / 石畳護衛 / 横風要員
Team 09,TT,268,Baptiste Veistroffer,支援,2950,64,73,TT・ルーラー型,クラシック型,ロードキャプテン / TT牽引 / TTスペシャリスト
Team 09,TT,222,Erik Nordsæter Resell,支援,3450,70,68,パンチャー,スプリンター,ロードキャプテン / ステージハンター / スプリントトレイン
Team 09,TT,233,Albert Withen Philipsen,支援,3700,69,75,TT・ルーラー型,クラシック型,平坦ペースメーカー / TT牽引 / 集団コントローラー
Team 09,TT,290,Edward Theuns,支援,3000,61,75,スプリンター,TT・ルーラー型,リードアウト / 最終発射台 / スプリントトレイン
Team 09,TT,184,Callum Thornley,支援,5750,71,79,TT・ルーラー型,クラシック型,ロードキャプテン / TTスペシャリスト / 平坦アシスト
Team 09,TT,190,Lionel Taminiaux,支援,4700,71,73,クライマー,スプリンター,山岳賞ハンター / スプリントトレイン / 山岳アシスト
Team 10,石畳,18,Alberto Bettiol,エース候補,9000,86,77,クラシック型,パンチャー,丘陵エース / 石畳護衛 / 横風要員
Team 10,石畳,110,Callum Scotson,エース候補,6400,74,78,クラシック型,スプリンター,スプリントトレイン / 平坦アシスト / 石畳護衛
Team 10,石畳,282,Davide Ballerini,支援,2900,62,73,スプリンター,TT・ルーラー型,リードアウト / 最終発射台 / スプリントトレイン
Team 10,石畳,285,Edoardo Affini,支援,3650,61,80,TT・ルーラー型,総合型,ロードキャプテン / TTスペシャリスト / 平坦アシスト
Team 10,石畳,227,Francesco Busatto,支援,4400,69,76,TT・ルーラー型,総合型,TTスペシャリスト / 平坦アシスト / 平坦ペースメーカー
Team 10,石畳,174,Alberto Bruttomesso,支援,4250,72,73,クラシック型,TT・ルーラー型,石畳護衛 / 横風要員 / ステージハンター
Team 10,石畳,215,Clément Champoussin,支援,4450,70,73,クライマー,総合型,山岳賞ハンター / 山岳アシスト / 山岳ペースメーカー
Team 10,石畳,128,Jonas Iversby Hvideberg,支援,4800,74,72,総合型,TT・ルーラー型,ロードキャプテン / 山岳アシスト / 山岳番手
Team 11,平坦,41,Tim Merlier,エース候補,9000,89,70,スプリンター,クラシック型,スプリントエース / ステージハンター / 最終発射台
Team 11,平坦,96,Léo Bisiaux,エース候補,6300,75,78,クラシック型,TT・ルーラー型,平坦アシスト / TT牽引 / 石畳護衛
Team 11,平坦,269,Bob Jungels,支援,3450,63,80,TT・ルーラー型,総合型,ロードキャプテン / 平坦アシスト / 平坦ペースメーカー
Team 11,平坦,286,Nils Politt,支援,3200,61,78,TT・ルーラー型,クラシック型,平坦アシスト / TT牽引 / 石畳護衛
Team 11,平坦,216,Einer Rubio,支援,4200,70,71,クライマー,スプリンター,山岳賞ハンター / スプリントトレイン / 山岳アシスト
Team 11,平坦,175,Emiel Verstrynge,支援,4250,72,71,パンチャー,スプリンター,ステージハンター / スプリントトレイン / 下り牽引
Team 11,平坦,129,Julius van den Berg,支援,4700,74,70,スプリンター,クラシック型,リードアウト / 最終発射台 / スプリントトレイン
Team 11,平坦,250,Bart Lemmen,支援,4800,67,77,TT・ルーラー型,クラシック型,TTスペシャリスト / 平坦アシスト / 集団コントローラー
Team 12,丘陵,9,Julian Alaphilippe,エース候補,10000,91,67,パンチャー,クライマー,丘陵エース / ステージハンター / 山岳賞ハンター
Team 12,丘陵,117,Jorge Arcas,エース候補,5500,74,76,クラシック型,TT・ルーラー型,TT牽引 / 石畳護衛 / ブレイクアウェイキラー
Team 12,丘陵,272,Thymen Arensman,支援,3150,63,75,クライマー,総合型,山岳賞ハンター / 山岳アシスト / 集団コントローラー
Team 12,丘陵,134,Darren Rafferty,支援,4150,74,67,スプリンター,総合型,リードアウト / 最終発射台 / スプリントトレイン
Team 12,丘陵,206,Fredrik Dversnes,支援,3850,71,69,パンチャー,クライマー,ステージハンター / 山岳賞ハンター / 下り牽引
Team 12,丘陵,228,Juan Pedro López,支援,4100,69,72,クライマー,クラシック型,山岳賞ハンター / 山岳アシスト / 山岳番手
Team 12,丘陵,155,Jacopo Mosca,支援,4450,73,71,総合型,パンチャー,山岳賞ハンター / 山岳アシスト / 山岳番手
Team 12,丘陵,225,Artem Shmidt,支援,4700,69,78,TT・ルーラー型,クライマー,山岳賞ハンター / 平坦アシスト / 平坦ペースメーカー
Team 13,山岳,3,Paul Seixas,エース候補,9300,94,74,総合型,パンチャー,総合エース / 集団コントローラー / 山岳番手
Team 13,山岳,135,Amanuel Ghebreigzabhier,エース候補,6400,73,77,クラシック型,パンチャー,平坦アシスト / TT牽引 / 石畳護衛
Team 13,山岳,275,Tao Geoghegan Hart,支援,3350,62,77,クライマー,総合型,山岳賞ハンター / 山岳アシスト / 山岳番手
Team 13,山岳,262,Adam Yates,支援,3600,65,76,クライマー,総合型,山岳賞ハンター / 山岳アシスト / 集団コントローラー
Team 13,山岳,284,Dylan van Baarle,支援,3900,61,80,TT・ルーラー型,クラシック型,平坦アシスト / TT牽引 / ブレイクアウェイキラー
Team 13,山岳,204,Dries Van Gestel,支援,4000,71,69,パンチャー,クライマー,ステージハンター / 山岳賞ハンター / 逃げ屋
Team 13,山岳,172,Gerben Thijssen,支援,4450,72,71,スプリンター,クラシック型,ロードキャプテン / ステージハンター / リードアウト
Team 13,山岳,169,Chris Hamilton,支援,5000,72,76,クライマー,総合型,ロードキャプテン / 山岳アシスト / 山岳ペースメーカー
Team 14,TT,16,Juan Ayuso,エース候補,8150,87,73,総合型,パンチャー,総合エース / 山岳番手 / 集団コントローラー
Team 14,TT,91,Jonas Abrahamsen,エース候補,6850,75,78,クラシック型,スプリンター,スプリントトレイン / 平坦アシスト / 石畳護衛
Team 14,TT,252,Harold Martín López,支援,3450,67,71,クライマー,TT・ルーラー型,山岳賞ハンター / 山岳アシスト / 山岳番手
Team 14,TT,259,Anton Kuzmin,支援,3150,66,73,TT・ルーラー型,総合型,TT牽引 / 集団コントローラー / TTスペシャリスト
Team 14,TT,170,Jonas Geens,支援,4750,72,75,クライマー,スプリンター,山岳賞ハンター / スプリントトレイン / 山岳アシスト
Team 14,TT,109,Johan Jacobs,支援,4300,75,68,スプリンター,クライマー,山岳賞ハンター / リードアウト / スプリントトレイン
Team 14,TT,214,Adrien Boichis,支援,4550,70,77,TT・ルーラー型,総合型,平坦アシスト / TT牽引 / 集団コントローラー
Team 14,TT,153,Guillermo Thomas Silva,支援,4750,73,71,パンチャー,TT・ルーラー型,ステージハンター / 山岳アシスト / 逃げ屋
Team 15,石畳,13,Jonathan Milan,エース候補,8500,88,73,スプリンター,TT・ルーラー型,スプリントエース / リードアウト / 最終発射台
Team 15,石畳,182,Ethan Hayter,支援,6100,71,80,TT・ルーラー型,クラシック型,TTスペシャリスト / 平坦アシスト / 平坦ペースメーカー
Team 15,石畳,253,Henri-François Renard-Haquin,支援,3350,67,70,クラシック型,クライマー,山岳賞ハンター / 石畳護衛 / 下り牽引
Team 15,石畳,159,Antoine L'Hote,支援,4300,73,69,パンチャー,クラシック型,ステージハンター / 山岳賞ハンター / 逃げ屋
Team 15,石畳,218,Alexander Hajek,支援,4000,70,73,クラシック型,クライマー,山岳賞ハンター / 石畳護衛 / 横風要員
Team 15,石畳,199,Lars Craps,支援,4300,71,74,クラシック型,TT・ルーラー型,石畳護衛 / 横風要員 / ステージハンター
Team 15,石畳,154,Brandon Rivera,エース候補,4550,73,73,クライマー,クラシック型,山岳賞ハンター / 山岳アシスト / 山岳ペースメーカー
Team 15,石畳,189,Georg Zimmermann,支援,4850,71,73,クライマー,クラシック型,山岳賞ハンター / 山岳アシスト / 山岳番手
Team 16,平坦,17,Olav Kooij,エース候補,7950,87,72,スプリンター,TT・ルーラー型,スプリントエース / リードアウト / 最終発射台
Team 16,平坦,59,Stefan Bissegger,エース候補,6750,79,80,TT・ルーラー型,クラシック型,サブエース / スーパー・ドメスティーク / TTスペシャリスト
Team 16,平坦,265,Damiano Caruso,支援,3550,64,76,クライマー,総合型,山岳賞ハンター / 山岳アシスト / 集団コントローラー
Team 16,平坦,220,Cyril Barthe,支援,3850,70,69,パンチャー,クライマー,ステージハンター / 山岳賞ハンター / 逃げ屋
Team 16,平坦,229,Jakob Omrzel,支援,4050,69,73,クラシック型,総合型,石畳護衛 / 集団コントローラー / ブレイクアウェイキラー
Team 16,平坦,173,Anders Foldager,支援,4350,72,69,パンチャー,クライマー,ステージハンター / 山岳賞ハンター / 逃げ屋
Team 16,平坦,193,Axel Laurance,支援,4600,71,69,パンチャー,TT・ルーラー型,ステージハンター / 逃げ屋 / ポジションキーパー
Team 16,平坦,188,Joseph Blackmore,支援,4900,71,74,クラシック型,クライマー,山岳賞ハンター / 石畳護衛 / 横風要員
Team 17,丘陵,15,Arnaud De Lie,エース候補,8350,87,72,パンチャー,スプリンター,丘陵エース / ステージハンター / スプリントトレイン
Team 17,丘陵,93,Michał Kwiatkowski,エース候補,6550,75,78,クラシック型,TT・ルーラー型,TT牽引 / 石畳護衛 / 下り牽引
Team 17,丘陵,238,Gil Gelders,支援,3500,69,69,総合型,スプリンター,ロードキャプテン / 山岳賞ハンター / スプリントトレイン
Team 17,丘陵,266,Carlos Verona,支援,3350,64,75,クライマー,総合型,山岳賞ハンター / 山岳アシスト / 山岳番手
Team 17,丘陵,198,Gijs Leemreize,支援,4350,71,73,クライマー,TT・ルーラー型,山岳賞ハンター / 山岳アシスト / 山岳ペースメーカー
Team 17,丘陵,197,Gianmarco Garofoli,支援,4350,71,73,クライマー,スプリンター,山岳賞ハンター / スプリントトレイン / 山岳アシスト
Team 17,丘陵,171,Adrià Pericas,支援,4600,72,74,クラシック型,パンチャー,石畳護衛 / 横風要員 / ステージハンター
Team 17,丘陵,224,Liam Slock,支援,4850,69,77,TT・ルーラー型,スプリンター,TTスペシャリスト / スプリントトレイン / 平坦アシスト
Team 18,山岳,12,Egan Bernal,エース候補,9350,88,71,総合型,クライマー,総合エース / 山岳賞ハンター / 山岳アシスト
Team 18,山岳,113,Filippo Conca,エース候補,6000,74,76,クラシック型,スプリンター,スプリントトレイン / 石畳護衛 / ブレイクアウェイキラー
Team 18,山岳,289,Marc Soler,支援,3100,61,76,クライマー,総合型,山岳賞ハンター / 山岳アシスト / 集団コントローラー
Team 18,山岳,179,Johannes Staune-Mittet,支援,3800,72,69,パンチャー,TT・ルーラー型,ステージハンター / 逃げ屋 / ポジションキーパー
Team 18,山岳,251,Davide Piganzoli,支援,3900,67,77,TT・ルーラー型,総合型,平坦アシスト / TT牽引 / 集団コントローラー
Team 18,山岳,243,Felix Engelhardt,支援,4150,68,75,TT・ルーラー型,総合型,TT牽引 / 集団コントローラー / ブレイクアウェイキラー
Team 18,山岳,231,Alastair Mackellar,支援,3950,69,72,クライマー,スプリンター,山岳賞ハンター / スプリントトレイン / 山岳アシスト
Team 18,山岳,185,Alec Segaert,支援,5650,71,79,TT・ルーラー型,スプリンター,TTスペシャリスト / スプリントトレイン / 平坦アシスト
Team 19,TT,4,Isaac del Toro,エース候補,9200,93,75,総合型,パンチャー,総合エース / 山岳番手 / 集団コントローラー
Team 19,TT,82,Sepp Kuss,エース候補,5850,76,80,クライマー,総合型,サブエース / スーパー・ドメスティーク / 山岳アシスト
Team 19,TT,287,Magnus Sheffield,支援,3150,61,79,TT・ルーラー型,総合型,ロードキャプテン / 平坦アシスト / 平坦ペースメーカー
Team 19,TT,257,Alessandro Covi,支援,3650,66,77,TT・ルーラー型,スプリンター,スプリントトレイン / 平坦アシスト / TT牽引
Team 19,TT,131,Casper van Uden,支援,4550,74,70,スプリンター,総合型,リードアウト / 最終発射台 / スプリントトレイン
Team 19,TT,176,Davide Toneatti,支援,4200,72,73,クラシック型,クライマー,ステージハンター / 山岳賞ハンター / 石畳護衛
Team 19,TT,196,Andrea Raccagni Noviero,支援,4500,71,74,クラシック型,クライマー,ステージハンター / 山岳賞ハンター / 石畳護衛
Team 19,TT,242,Christopher Juul-Jensen,支援,4750,68,78,TT・ルーラー型,スプリンター,スプリントトレイン / 平坦アシスト / 平坦ペースメーカー
Team 20,石畳,14,Biniam Girmay,エース候補,8350,88,72,スプリンター,パンチャー,スプリントエース / ステージハンター / リードアウト
Team 20,石畳,77,Iván García Cortina,エース候補,6350,76,76,クラシック型,スプリンター,ロードキャプテン / スプリントトレイン / 石畳護衛
Team 20,石畳,254,Lennert Belmans,支援,3300,67,71,クラシック型,TT・ルーラー型,石畳護衛 / 集団コントローラー / 横風要員
Team 20,石畳,208,Gonzalo Serrano,支援,3800,71,69,パンチャー,クライマー,ステージハンター / 山岳賞ハンター / 逃げ屋
Team 20,石畳,202,Madis Mihkels,支援,4050,71,70,パンチャー,総合型,ロードキャプテン / ステージハンター / 集団コントローラー
Team 20,石畳,132,Andreas Kron,支援,4500,74,69,パンチャー,総合型,ステージハンター / 山岳賞ハンター / 下り牽引
Team 20,石畳,195,Matthew Riccitello,支援,4550,71,72,クライマー,パンチャー,山岳賞ハンター / 山岳アシスト / 山岳番手
Team 20,石畳,241,Casper Pedersen,支援,4850,68,77,TT・ルーラー型,総合型,平坦アシスト / TT牽引 / 集団コントローラー
