no,name,rider_title,rider_title_eligibility,rider_title_basis,country,era,primary_archetype,secondary_archetype,ace_aptitude,support_aptitude,preferred_roles,specialist_role,aptitude_tags,credit_salary,sprint,acceleration,punch,cruise,climb,stamina,resistance,technique,bikeControl,pave,recovery,dailyRecovery,teamwork,ego,fighting,pave_best_result,pave_finishes,pave_top10s,pave_wins,pave_status,pave_basis,pave_source_url,rating_status,rating_basis,profile_url,world_road_gold,world_road_silver,world_road_bronze,world_itt_gold,world_itt_silver,world_itt_bronze,world_championship_basis,world_championship_source_url,current_team,birth_date,active_status,selection_basis,active_source_url
1,Peter Sagan,虹のショーマン,"Credit 10,000以上","Credit 10,500／クラシック型／スプリンター／世界ロード金3／パリ〜ルーベ優勝1",スロバキア,現代,クラシック型,スプリンター,93,75,丘陵エース / スプリントトレイン / 石畳護衛,,加速力 / パンチ力 / スタミナ,11000,78,85,85,76,74,85,85,85,85,83,76,75,67,85,85,1,4,3,1,手動検証済,2018優勝、2019年5位、2014年6位 / ロンド優勝1回・加点+1・最低保証76,https://www.rondevanvlaanderen.be/en/race/men-elite/history,能力・適性・Credit整合済,"世界選手権ロード・個人TT表彰台実績を補正後、能力別順位上限を適用（85は各能力最大2名・1選手最大2項目）。パヴェはパリ〜ルーベ主基準・ロンド優勝を加点＋最低保証。役割・戦術特性を単一カテゴリへ統合。エース適性降順、同点はCredit・15能力平均・選手名順でNo.を再採番。役割人数を300名内順位で制御（TTスペシャリスト20、TT牽引45、平坦アシスト60、横風要員35、逃げ屋50）。エース適性90以上は名称に「アシスト」を含む役割を付与しない。Remco Evenepoel、Wout van Aert、Mathieu van der Poelは超ロングスパート固定。能力値を偏差値型分布（中央値約70）へ再配分。Tadej Pogacarのみ特別枠、各能力85は1〜2名、その他は84以下。能力・適性整合: エース適性は従来評価70%＋主脚質能力20%＋負けん気・エゴ10%＋主要実績、アシスト適性は支援能力70%＋従来評価30%で再計算。Creditは適性・主脚質能力・支援力・主要実績・85能力数から算定。能力・適性整合: エース適性は従来評価70%＋主脚質能力20%＋負けん気・エゴ10%＋主要実績、アシスト適性は支援能力70%＋従来評価30%で再計算。Creditは適性・主脚質能力・支援力・主要実績・85能力数・上位帯プレミアムから算定。上位5名はゲーム内基準価格を適用。Credit再計算: 適性・主脚質能力・支援力・主要実績・85能力数・上位帯プレミアムから算定。ポガチャル20,000、ファンデルプール／ビンゲゴー13,000、ワウト／エベネプール12,500を上位基準価格として固定。エース適性42%・主脚質能力28%・アシスト適性12%・総合能力8%・主要実績6%・知名度4%の合成順位を価格曲線へ変換し、上位5名は指定基準価格を適用。Credit全選手再査定: 現役・引退・区分保留の全選手を同一母集団で標準化。エース適性50%・主脚質能力20%・アシスト適性8%・総合能力5%・主要実績12%・知名度5%の合成順位を価格曲線へ変換し、上位5名は指定基準価格を適用",https://en.wikipedia.org/wiki/Special:Search?search=Peter%20Sagan%20cyclist,3,0,0,0,0,0,ロード 金3/銀0/銅0、ITT 金0/銀0/銅0,https://www.uci.org/discipline/road/6TBjsDD8902tud440iv1Cu?discipline=ROA&tab=results,,,区分保留,2026 WorldTeam外・現役／引退を断定せず保留,https://en.wikipedia.org/wiki/Special:Search?search=Peter%20Sagan%20cyclist
2,Mads Pedersen,北欧の暴風,"Credit 10,000以上","Credit 10,000／クラシック型／スプリンター／世界ロード金1",デンマーク,現代,クラシック型,スプリンター,93,81,丘陵エース / スプリントトレイン / 石畳護衛,,最高速 / 耐久力 / 技術力,10800,85,80,78,78,64,77,85,85,85,76,74,74,77,77,85,7,3,1,0,結果照合済,最高7位 / 完走3回 / Top10 1回 / 優勝0回,https://bikeraceinfo.com/classics/paris-roubaix/pr2026.html,能力・適性・Credit整合済,"世界選手権ロード・個人TT表彰台実績を補正後、能力別順位上限を適用（85は各能力最大2名・1選手最大2項目）。パヴェはパリ〜ルーベ主基準・ロンド優勝を加点＋最低保証。役割・戦術特性を単一カテゴリへ統合。エース適性降順、同点はCredit・15能力平均・選手名順でNo.を再採番。役割人数を300名内順位で制御（TTスペシャリスト20、TT牽引45、平坦アシスト60、横風要員35、逃げ屋50）。エース適性90以上は名称に「アシスト」を含む役割を付与しない。Remco Evenepoel、Wout van Aert、Mathieu van der Poelは超ロングスパート固定。能力値を偏差値型分布（中央値約70）へ再配分。Tadej Pogacarのみ特別枠、各能力85は1〜2名、その他は84以下。能力・適性整合: エース適性は従来評価70%＋主脚質能力20%＋負けん気・エゴ10%＋主要実績、アシスト適性は支援能力70%＋従来評価30%で再計算。Creditは適性・主脚質能力・支援力・主要実績・85能力数から算定。能力・適性整合: エース適性は従来評価70%＋主脚質能力20%＋負けん気・エゴ10%＋主要実績、アシスト適性は支援能力70%＋従来評価30%で再計算。Creditは適性・主脚質能力・支援力・主要実績・85能力数・上位帯プレミアムから算定。上位5名はゲーム内基準価格を適用。Credit再計算: 適性・主脚質能力・支援力・主要実績・85能力数・上位帯プレミアムから算定。ポガチャル20,000、ファンデルプール／ビンゲゴー13,000、ワウト／エベネプール12,500を上位基準価格として固定。エース適性42%・主脚質能力28%・アシスト適性12%・総合能力8%・主要実績6%・知名度4%の合成順位を価格曲線へ変換し、上位5名は指定基準価格を適用。Credit全選手再査定: 現役・引退・区分保留の全選手を同一母集団で標準化。エース適性50%・主脚質能力20%・アシスト適性8%・総合能力5%・主要実績12%・知名度5%の合成順位を価格曲線へ変換し、上位5名は指定基準価格を適用",https://en.wikipedia.org/wiki/Special:Search?search=Mads%20Pedersen%20cyclist,1,0,0,0,0,0,ロード 金1/銀0/銅0、ITT 金0/銀0/銅0,https://www.uci.org/discipline/road/6TBjsDD8902tud440iv1Cu?discipline=ROA&tab=results,,,区分保留,2026 WorldTeam外・現役／引退を断定せず保留,https://en.wikipedia.org/wiki/Special:Search?search=Mads%20Pedersen%20cyclist
3,Romain Bardet,,対象外,,フランス,現代,クライマー,パンチャー,89,70,山岳エース / 山岳番手 / 逃げ屋,,登坂力 / 回復力 / 闘争心,9550,59,76,74,66,80,79,79,67,71,50,80,79,65,76,80,,0,0,0,要出走確認,1960〜2026完走順位との一致なし。未出走または表記差を要確認,https://bikeraceinfo.com/classics/paris-roubaix/paris-roubaix-index.html,能力・適性・Credit整合済,"世界選手権ロード・個人TT表彰台実績を補正後、能力別順位上限を適用（85は各能力最大2名・1選手最大2項目）。パヴェはパリ〜ルーベ主基準・ロンド優勝を加点＋最低保証。役割・戦術特性を単一カテゴリへ統合。エース適性降順、同点はCredit・15能力平均・選手名順でNo.を再採番。役割人数を300名内順位で制御（TTスペシャリスト20、TT牽引45、平坦アシスト60、横風要員35、逃げ屋50）。エース適性90以上は名称に「アシスト」を含む役割を付与しない。Remco Evenepoel、Wout van Aert、Mathieu van der Poelは超ロングスパート固定。能力値を偏差値型分布（中央値約70）へ再配分。Tadej Pogacarのみ特別枠、各能力85は1〜2名、その他は84以下。能力・適性整合: エース適性は従来評価70%＋主脚質能力20%＋負けん気・エゴ10%＋主要実績、アシスト適性は支援能力70%＋従来評価30%で再計算。Creditは適性・主脚質能力・支援力・主要実績・85能力数から算定。能力・適性整合: エース適性は従来評価70%＋主脚質能力20%＋負けん気・エゴ10%＋主要実績、アシスト適性は支援能力70%＋従来評価30%で再計算。Creditは適性・主脚質能力・支援力・主要実績・85能力数・上位帯プレミアムから算定。上位5名はゲーム内基準価格を適用。Credit再計算: 適性・主脚質能力・支援力・主要実績・85能力数・上位帯プレミアムから算定。ポガチャル20,000、ファンデルプール／ビンゲゴー13,000、ワウト／エベネプール12,500を上位基準価格として固定。エース適性42%・主脚質能力28%・アシスト適性12%・総合能力8%・主要実績6%・知名度4%の合成順位を価格曲線へ変換し、上位5名は指定基準価格を適用。Credit全選手再査定: 現役・引退・区分保留の全選手を同一母集団で標準化。エース適性50%・主脚質能力20%・アシスト適性8%・総合能力5%・主要実績12%・知名度5%の合成順位を価格曲線へ変換し、上位5名は指定基準価格を適用",https://en.wikipedia.org/wiki/Special:Search?search=Romain%20Bardet%20cyclist,0,1,0,0,0,0,ロード 金0/銀1/銅0、ITT 金0/銀0/銅0,https://www.uci.org/discipline/road/6TBjsDD8902tud440iv1Cu?discipline=ROA&tab=results,,,区分保留,2026 WorldTeam外・現役／引退を断定せず保留,https://en.wikipedia.org/wiki/Special:Search?search=Romain%20Bardet%20cyclist
4,Joao Almeida,,対象外,,ポルトガル,現代,総合型,TT・ルーラー型,88,76,総合エース / 集団コントローラー / 山岳番手,,回復力 / 日別回復 / 登坂力,9100,61,72,74,71,77,77,76,70,72,50,85,85,67,76,71,,0,0,0,要出走確認,1960〜2026完走順位との一致なし。未出走または表記差を要確認,https://bikeraceinfo.com/classics/paris-roubaix/paris-roubaix-index.html,能力・適性・Credit整合済,"世界選手権ロード・個人TT表彰台実績を補正後、能力別順位上限を適用（85は各能力最大2名・1選手最大2項目）。パヴェはパリ〜ルーベ主基準・ロンド優勝を加点＋最低保証。役割・戦術特性を単一カテゴリへ統合。エース適性降順、同点はCredit・15能力平均・選手名順でNo.を再採番。役割人数を300名内順位で制御（TTスペシャリスト20、TT牽引45、平坦アシスト60、横風要員35、逃げ屋50）。エース適性90以上は名称に「アシスト」を含む役割を付与しない。Remco Evenepoel、Wout van Aert、Mathieu van der Poelは超ロングスパート固定。能力値を偏差値型分布（中央値約70）へ再配分。Tadej Pogacarのみ特別枠、各能力85は1〜2名、その他は84以下。能力・適性整合: エース適性は従来評価70%＋主脚質能力20%＋負けん気・エゴ10%＋主要実績、アシスト適性は支援能力70%＋従来評価30%で再計算。Creditは適性・主脚質能力・支援力・主要実績・85能力数から算定。能力・適性整合: エース適性は従来評価70%＋主脚質能力20%＋負けん気・エゴ10%＋主要実績、アシスト適性は支援能力70%＋従来評価30%で再計算。Creditは適性・主脚質能力・支援力・主要実績・85能力数・上位帯プレミアムから算定。上位5名はゲーム内基準価格を適用。Credit再計算: 適性・主脚質能力・支援力・主要実績・85能力数・上位帯プレミアムから算定。ポガチャル20,000、ファンデルプール／ビンゲゴー13,000、ワウト／エベネプール12,500を上位基準価格として固定。エース適性42%・主脚質能力28%・アシスト適性12%・総合能力8%・主要実績6%・知名度4%の合成順位を価格曲線へ変換し、上位5名は指定基準価格を適用。Credit全選手再査定: 現役・引退・区分保留の全選手を同一母集団で標準化。エース適性50%・主脚質能力20%・アシスト適性8%・総合能力5%・主要実績12%・知名度5%の合成順位を価格曲線へ変換し、上位5名は指定基準価格を適用",https://en.wikipedia.org/wiki/Special:Search?search=Joao%20Almeida%20cyclist,0,0,0,0,0,0,ロード 金0/銀0/銅0、ITT 金0/銀0/銅0,,,,区分保留,2026 WorldTeam外・現役／引退を断定せず保留,https://en.wikipedia.org/wiki/Special:Search?search=Joao%20Almeida%20cyclist
5,Marcel Kittel,,対象外,,ドイツ,現代,スプリンター,クラシック型,88,63,スプリントエース / リードアウト / 最終発射台,,最高速 / 加速力 / 自己主張,7800,85,85,71,71,57,63,64,67,73,50,73,72,57,85,69,,0,0,0,要出走確認,1960〜2026完走順位との一致なし。未出走または表記差を要確認,https://bikeraceinfo.com/classics/paris-roubaix/paris-roubaix-index.html,能力・適性・Credit整合済,"世界選手権ロード・個人TT表彰台実績を補正後、能力別順位上限を適用（85は各能力最大2名・1選手最大2項目）。パヴェはパリ〜ルーベ主基準・ロンド優勝を加点＋最低保証。役割・戦術特性を単一カテゴリへ統合。エース適性降順、同点はCredit・15能力平均・選手名順でNo.を再採番。役割人数を300名内順位で制御（TTスペシャリスト20、TT牽引45、平坦アシスト60、横風要員35、逃げ屋50）。エース適性90以上は名称に「アシスト」を含む役割を付与しない。Remco Evenepoel、Wout van Aert、Mathieu van der Poelは超ロングスパート固定。能力値を偏差値型分布（中央値約70）へ再配分。Tadej Pogacarのみ特別枠、各能力85は1〜2名、その他は84以下。能力・適性整合: エース適性は従来評価70%＋主脚質能力20%＋負けん気・エゴ10%＋主要実績、アシスト適性は支援能力70%＋従来評価30%で再計算。Creditは適性・主脚質能力・支援力・主要実績・85能力数から算定。能力・適性整合: エース適性は従来評価70%＋主脚質能力20%＋負けん気・エゴ10%＋主要実績、アシスト適性は支援能力70%＋従来評価30%で再計算。Creditは適性・主脚質能力・支援力・主要実績・85能力数・上位帯プレミアムから算定。上位5名はゲーム内基準価格を適用。Credit再計算: 適性・主脚質能力・支援力・主要実績・85能力数・上位帯プレミアムから算定。ポガチャル20,000、ファンデルプール／ビンゲゴー13,000、ワウト／エベネプール12,500を上位基準価格として固定。エース適性42%・主脚質能力28%・アシスト適性12%・総合能力8%・主要実績6%・知名度4%の合成順位を価格曲線へ変換し、上位5名は指定基準価格を適用。Credit全選手再査定: 現役・引退・区分保留の全選手を同一母集団で標準化。エース適性50%・主脚質能力20%・アシスト適性8%・総合能力5%・主要実績12%・知名度5%の合成順位を価格曲線へ変換し、上位5名は指定基準価格を適用",https://en.wikipedia.org/wiki/Special:Search?search=Marcel%20Kittel%20cyclist,0,0,0,0,0,0,ロード 金0/銀0/銅0、ITT 金0/銀0/銅0,,,,区分保留,2026 WorldTeam外・現役／引退を断定せず保留,https://en.wikipedia.org/wiki/Special:Search?search=Marcel%20Kittel%20cyclist
6,Rohan Dennis,豪州の時計砕き,著名実績枠,"Credit 9,400／TT・ルーラー型／総合型／世界ITT金2",オーストラリア,現代,TT・ルーラー型,総合型,86,81,総合エース / TTスペシャリスト / 集団コントローラー,,連携力 / 巡航力 / スタミナ,10400,65,70,70,83,73,80,80,80,72,50,74,74,85,72,70,,0,0,0,要出走確認,1960〜2026完走順位との一致なし。未出走または表記差を要確認,https://bikeraceinfo.com/classics/paris-roubaix/paris-roubaix-index.html,能力・適性・Credit整合済,"世界選手権ロード・個人TT表彰台実績を補正後、能力別順位上限を適用（85は各能力最大2名・1選手最大2項目）。パヴェはパリ〜ルーベ主基準・ロンド優勝を加点＋最低保証。役割・戦術特性を単一カテゴリへ統合。エース適性降順、同点はCredit・15能力平均・選手名順でNo.を再採番。役割人数を300名内順位で制御（TTスペシャリスト20、TT牽引45、平坦アシスト60、横風要員35、逃げ屋50）。エース適性90以上は名称に「アシスト」を含む役割を付与しない。Remco Evenepoel、Wout van Aert、Mathieu van der Poelは超ロングスパート固定。能力値を偏差値型分布（中央値約70）へ再配分。Tadej Pogacarのみ特別枠、各能力85は1〜2名、その他は84以下。能力・適性整合: エース適性は従来評価70%＋主脚質能力20%＋負けん気・エゴ10%＋主要実績、アシスト適性は支援能力70%＋従来評価30%で再計算。Creditは適性・主脚質能力・支援力・主要実績・85能力数から算定。能力・適性整合: エース適性は従来評価70%＋主脚質能力20%＋負けん気・エゴ10%＋主要実績、アシスト適性は支援能力70%＋従来評価30%で再計算。Creditは適性・主脚質能力・支援力・主要実績・85能力数・上位帯プレミアムから算定。上位5名はゲーム内基準価格を適用。Credit再計算: 適性・主脚質能力・支援力・主要実績・85能力数・上位帯プレミアムから算定。ポガチャル20,000、ファンデルプール／ビンゲゴー13,000、ワウト／エベネプール12,500を上位基準価格として固定。エース適性42%・主脚質能力28%・アシスト適性12%・総合能力8%・主要実績6%・知名度4%の合成順位を価格曲線へ変換し、上位5名は指定基準価格を適用。Credit全選手再査定: 現役・引退・区分保留の全選手を同一母集団で標準化。エース適性50%・主脚質能力20%・アシスト適性8%・総合能力5%・主要実績12%・知名度5%の合成順位を価格曲線へ変換し、上位5名は指定基準価格を適用",https://en.wikipedia.org/wiki/Special:Search?search=Rohan%20Dennis%20cyclist,0,0,0,2,0,0,ロード 金0/銀0/銅0、ITT 金2/銀0/銅0,https://www.uci.org/discipline/road/6TBjsDD8902tud440iv1Cu?discipline=ROA&tab=results,,,区分保留,2026 WorldTeam外・現役／引退を断定せず保留,https://en.wikipedia.org/wiki/Special:Search?search=Rohan%20Dennis%20cyclist
7,Carlos Rodriguez,,対象外,,スペイン,現代,総合型,クライマー,86,74,総合エース / 山岳賞ハンター / 山岳番手,,回復力 / 日別回復 / 登坂力,8700,58,72,77,67,80,76,75,67,73,50,85,85,65,77,71,,0,0,0,要出走確認,1960〜2026完走順位との一致なし。未出走または表記差を要確認,https://bikeraceinfo.com/classics/paris-roubaix/paris-roubaix-index.html,能力・適性・Credit整合済,"世界選手権ロード・個人TT表彰台実績を補正後、能力別順位上限を適用（85は各能力最大2名・1選手最大2項目）。パヴェはパリ〜ルーベ主基準・ロンド優勝を加点＋最低保証。役割・戦術特性を単一カテゴリへ統合。エース適性降順、同点はCredit・15能力平均・選手名順でNo.を再採番。役割人数を300名内順位で制御（TTスペシャリスト20、TT牽引45、平坦アシスト60、横風要員35、逃げ屋50）。エース適性90以上は名称に「アシスト」を含む役割を付与しない。Remco Evenepoel、Wout van Aert、Mathieu van der Poelは超ロングスパート固定。能力値を偏差値型分布（中央値約70）へ再配分。Tadej Pogacarのみ特別枠、各能力85は1〜2名、その他は84以下。能力・適性整合: エース適性は従来評価70%＋主脚質能力20%＋負けん気・エゴ10%＋主要実績、アシスト適性は支援能力70%＋従来評価30%で再計算。Creditは適性・主脚質能力・支援力・主要実績・85能力数から算定。能力・適性整合: エース適性は従来評価70%＋主脚質能力20%＋負けん気・エゴ10%＋主要実績、アシスト適性は支援能力70%＋従来評価30%で再計算。Creditは適性・主脚質能力・支援力・主要実績・85能力数・上位帯プレミアムから算定。上位5名はゲーム内基準価格を適用。Credit再計算: 適性・主脚質能力・支援力・主要実績・85能力数・上位帯プレミアムから算定。ポガチャル20,000、ファンデルプール／ビンゲゴー13,000、ワウト／エベネプール12,500を上位基準価格として固定。エース適性42%・主脚質能力28%・アシスト適性12%・総合能力8%・主要実績6%・知名度4%の合成順位を価格曲線へ変換し、上位5名は指定基準価格を適用。Credit全選手再査定: 現役・引退・区分保留の全選手を同一母集団で標準化。エース適性50%・主脚質能力20%・アシスト適性8%・総合能力5%・主要実績12%・知名度5%の合成順位を価格曲線へ変換し、上位5名は指定基準価格を適用",https://en.wikipedia.org/wiki/Special:Search?search=Carlos%20Rodriguez%20cyclist,0,0,0,0,0,0,ロード 金0/銀0/銅0、ITT 金0/銀0/銅0,,,,区分保留,2026 WorldTeam外・現役／引退を断定せず保留,https://en.wikipedia.org/wiki/Special:Search?search=Carlos%20Rodriguez%20cyclist
8,Lenny Martinez,,対象外,,フランス,現代,クライマー,パンチャー,85,73,山岳エース / 山岳賞ハンター / 山岳アシスト,,登坂力 / 回復力 / 闘争心,8100,60,73,75,65,80,74,73,66,71,50,79,78,68,76,79,,0,0,0,要出走確認,1960〜2026完走順位との一致なし。未出走または表記差を要確認,https://bikeraceinfo.com/classics/paris-roubaix/paris-roubaix-index.html,能力・適性・Credit整合済,"世界選手権ロード・個人TT表彰台実績を補正後、能力別順位上限を適用（85は各能力最大2名・1選手最大2項目）。パヴェはパリ〜ルーベ主基準・ロンド優勝を加点＋最低保証。役割・戦術特性を単一カテゴリへ統合。エース適性降順、同点はCredit・15能力平均・選手名順でNo.を再採番。役割人数を300名内順位で制御（TTスペシャリスト20、TT牽引45、平坦アシスト60、横風要員35、逃げ屋50）。エース適性90以上は名称に「アシスト」を含む役割を付与しない。Remco Evenepoel、Wout van Aert、Mathieu van der Poelは超ロングスパート固定。能力値を偏差値型分布（中央値約70）へ再配分。Tadej Pogacarのみ特別枠、各能力85は1〜2名、その他は84以下。能力・適性整合: エース適性は従来評価70%＋主脚質能力20%＋負けん気・エゴ10%＋主要実績、アシスト適性は支援能力70%＋従来評価30%で再計算。Creditは適性・主脚質能力・支援力・主要実績・85能力数から算定。能力・適性整合: エース適性は従来評価70%＋主脚質能力20%＋負けん気・エゴ10%＋主要実績、アシスト適性は支援能力70%＋従来評価30%で再計算。Creditは適性・主脚質能力・支援力・主要実績・85能力数・上位帯プレミアムから算定。上位5名はゲーム内基準価格を適用。Credit再計算: 適性・主脚質能力・支援力・主要実績・85能力数・上位帯プレミアムから算定。ポガチャル20,000、ファンデルプール／ビンゲゴー13,000、ワウト／エベネプール12,500を上位基準価格として固定。エース適性42%・主脚質能力28%・アシスト適性12%・総合能力8%・主要実績6%・知名度4%の合成順位を価格曲線へ変換し、上位5名は指定基準価格を適用。Credit全選手再査定: 現役・引退・区分保留の全選手を同一母集団で標準化。エース適性50%・主脚質能力20%・アシスト適性8%・総合能力5%・主要実績12%・知名度5%の合成順位を価格曲線へ変換し、上位5名は指定基準価格を適用",https://en.wikipedia.org/wiki/Special:Search?search=Lenny%20Martinez%20cyclist,0,0,0,0,0,0,ロード 金0/銀0/銅0、ITT 金0/銀0/銅0,,,,区分保留,2026 WorldTeam外・現役／引退を断定せず保留,https://en.wikipedia.org/wiki/Special:Search?search=Lenny%20Martinez%20cyclist
9,Thomas De Gendt,,対象外,,ベルギー,現代,TT・ルーラー型,クラシック型,83,74,丘陵エース / 平坦ペースメーカー / TTスペシャリスト,,巡航力 / 技術力 / スタミナ,7500,68,70,69,81,69,76,76,78,72,50,73,73,72,75,70,,0,0,0,要出走確認,1960〜2026完走順位との一致なし。未出走または表記差を要確認,https://bikeraceinfo.com/classics/paris-roubaix/paris-roubaix-index.html,能力・適性・Credit整合済,"世界選手権ロード・個人TT表彰台実績を補正後、能力別順位上限を適用（85は各能力最大2名・1選手最大2項目）。パヴェはパリ〜ルーベ主基準・ロンド優勝を加点＋最低保証。役割・戦術特性を単一カテゴリへ統合。エース適性降順、同点はCredit・15能力平均・選手名順でNo.を再採番。役割人数を300名内順位で制御（TTスペシャリスト20、TT牽引45、平坦アシスト60、横風要員35、逃げ屋50）。エース適性90以上は名称に「アシスト」を含む役割を付与しない。Remco Evenepoel、Wout van Aert、Mathieu van der Poelは超ロングスパート固定。能力値を偏差値型分布（中央値約70）へ再配分。Tadej Pogacarのみ特別枠、各能力85は1〜2名、その他は84以下。能力・適性整合: エース適性は従来評価70%＋主脚質能力20%＋負けん気・エゴ10%＋主要実績、アシスト適性は支援能力70%＋従来評価30%で再計算。Creditは適性・主脚質能力・支援力・主要実績・85能力数から算定。能力・適性整合: エース適性は従来評価70%＋主脚質能力20%＋負けん気・エゴ10%＋主要実績、アシスト適性は支援能力70%＋従来評価30%で再計算。Creditは適性・主脚質能力・支援力・主要実績・85能力数・上位帯プレミアムから算定。上位5名はゲーム内基準価格を適用。Credit再計算: 適性・主脚質能力・支援力・主要実績・85能力数・上位帯プレミアムから算定。ポガチャル20,000、ファンデルプール／ビンゲゴー13,000、ワウト／エベネプール12,500を上位基準価格として固定。エース適性42%・主脚質能力28%・アシスト適性12%・総合能力8%・主要実績6%・知名度4%の合成順位を価格曲線へ変換し、上位5名は指定基準価格を適用。Credit全選手再査定: 現役・引退・区分保留の全選手を同一母集団で標準化。エース適性50%・主脚質能力20%・アシスト適性8%・総合能力5%・主要実績12%・知名度5%の合成順位を価格曲線へ変換し、上位5名は指定基準価格を適用",https://en.wikipedia.org/wiki/Special:Search?search=Thomas%20De%20Gendt%20cyclist,0,0,0,0,0,0,ロード 金0/銀0/銅0、ITT 金0/銀0/銅0,,,,区分保留,2026 WorldTeam外・現役／引退を断定せず保留,https://en.wikipedia.org/wiki/Special:Search?search=Thomas%20De%20Gendt%20cyclist
